,Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
166,S E P T E M B E R,20,Rambo: Last Blood,Lionsgate / Millennium Films,"Adrian Grunberg (director); Sylvester Stallone, Matt Cirulnick (screenplay); Sylvester Stallone, Adriana Barraza, Paz Vega, Yvette Monreal, Sergio Peris-Mencheta, Oscar Jaenada, Joaquín Cosío",[162],Action Thriller Drama
167,S E P T E M B E R,20,Bloodline,Blumhouse Productions / Momentum Pictures,"Henry Jacobson (director); Avra Fox-Lerne, Henry Jacobson, Will Honley (screenplay); Seann William Scott, Mariela Garriga, Dale Dickey, Kevin Carroll",[163],Thriller Crime Horror
168,S E P T E M B E R,20,Running with the Devil,Patriot Pictures,"Jason Cabell (director/screenplay); Nicolas Cage, Laurence Fishburne",[164],Crime Drama Thriller
169,S E P T E M B E R,22,Fractured,Netflix,"Brad Anderson (director); Alan B. McElroy (screenplay); Sam Worthington, Lily Rabe, Stephen Tobolowsky",,Thriller
170,S E P T E M B E R,27,Abominable,Universal Pictures / DreamWorks Animation / Pearl Studio,"Jill Culton (director/screenplay); Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Eddie Izzard, Sarah Paulson",[165],Family Animation Adventure Comedy
171,S E P T E M B E R,27,The Laundromat,Netflix,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Meryl Streep, Gary Oldman, Antonio Banderas, Jeffrey Wright, Robert Patrick, David Schwimmer, Sharon Stone",[166],Drama Crime Comedy
172,S E P T E M B E R,27,Judy,Roadside Attractions / LD Entertainment / Pathé,"Rupert Goold (director); Tom Edge (screenplay); Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon",[167],Drama History Music
173,S E P T E M B E R,27,Prey,Blumhouse Productions / Image Nation,"Franck Khalfoun (director); David Coggeshall, Franck Khalfoun (screenplay); Logan Miller, Kristine Froseth",[168],Thriller Action Science Fiction
174,S E P T E M B E R,27,10 Minutes Gone,Highland Film Group,"Brian A. Miller (director); Kelvin Mao, Jeff Jingle (screenplay); Bruce Willis, Michael Chiklis",[169],Crime Action Thriller Mystery
175,O C T O B E R,4,Joker,Warner Bros. Pictures / Village Roadshow Pictures / DC Films,"Todd Phillips (director/screenplay); Scott Silver (screenplay); Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, Marc Maron",[170],Crime Thriller Drama
176,O C T O B E R,4,Lucy in the Sky,Fox Searchlight Pictures,"Noah Hawley (director/screenplay); Brian C. Brown, Elliott DiGuiseppi (screenplay); Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens, Colman Domingo, Ellen Burstyn",[171],Drama Thriller Romance
177,O C T O B E R,4,Dolemite Is My Name,Netflix,"Craig Brewer (director); Scott Alexander and Larry Karaszewski (screenplay); Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Wesley Snipes",[166],Drama Comedy History
178,O C T O B E R,4,In the Tall Grass,Netflix,"Vincenzo Natali (director/screenplay); Patrick Wilson, Harrison Gilbertson, Rachel Wilson",,Horror Drama Thriller
179,O C T O B E R,4,Low Tide,A24 / DirecTV Cinema,"Kevin McMullin (director/screenplay); Keean Johnson, Jaeden Martell, Alex Neustaedter, Kristine Froseth, Shea Whigham",[172],Thriller
180,O C T O B E R,4,Wrinkles the Clown,Magnet Releasing,"Michael Beach Nichols (director); Michael Beach Nichols, Christopher K. Walker (screenplay)",[173],Documentary
181,O C T O B E R,8,Little Monsters,Neon / Hulu,"Abe Forsythe (director/screenplay); Lupita Nyong'o, Alexander England, Josh Gad",[174],Adventure Fantasy Comedy Family
182,O C T O B E R,11,Gemini Man,Paramount Pictures / Skydance Media / Jerry Bruckheimer Films,"Ang Lee (director); David Benioff, Billy Ray, Darren Lemke (screenplay); Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong",[175],Science Fiction Action Thriller
183,O C T O B E R,11,The Addams Family,Metro-Goldwyn-Mayer / Bron Animation,"Conrad Vernon, Greg Tiernan (directors); Matt Lieberman, Pamela Pettler (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard, Nick Kroll, Snoop Dogg, Bette Midler, Allison Janney",[176],Family Animation Comedy Fantasy
184,O C T O B E R,11,The King,Netflix / Plan B Entertainment,"David Michôd (director/screenplay); Joel Edgerton (screenplay); Timothée Chalamet, Joel Edgerton, Sean Harris, Lily-Rose Depp, Robert Pattinson, Ben Mendelsohn",[166],Fantasy Adventure Science Fiction Action
185,O C T O B E R,11,Jexi,Lionsgate / CBS Films / Entertainment One,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña",,Comedy
186,O C T O B E R,11,Polaroid,Dimension Films / Vertigo Entertainment,"Lars Klevberg (director); Blair Butler (screenplay); Kathryn Prescott, Grace Zabriskie, Samantha Logan, Tyler Young, Javier Botet, Katie Stevens, Madelaine Petsch",[177],Horror Thriller Mystery
187,O C T O B E R,11,El Camino: A Breaking Bad Movie,Netflix / Sony Pictures Releasing,"Vince Gilligan (director/screenplay); Aaron Paul, Jesse Plemons, Scott MacArthur, Scott Shepherd, Charles Baker, Matt Jones, Robert Forster",[178],Crime Drama Thriller
188,O C T O B E R,18,Maleficent: Mistress of Evil,Walt Disney Pictures,"Joachim Rønning (director); Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue (screenplay); Angelina Jolie, Elle Fanning, Michelle Pfeiffer, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville",[179],Family Fantasy Adventure Action
189,O C T O B E R,18,Zombieland: Double Tap,Columbia Pictures,"Ruben Fleischer (director); Rhett Reese, Paul Wernick, David Callaham (screenplay); Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Rosario Dawson, Zoey Deutch, Luke Wilson",[180],Comedy Horror
190,O C T O B E R,18,Jojo Rabbit,Fox Searchlight Pictures,"Taika Waititi (director/screenplay); Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell",[181],Comedy War Drama
191,O C T O B E R,18,The Lighthouse,A24 / Regency Enterprises,"Robert Eggers (director/screenplay); Max Eggers (screenplay); Willem Dafoe, Robert Pattinson",[182],Drama Fantasy Thriller Horror
192,O C T O B E R,18,Wounds,Hulu / Annapurna Pictures,"Babak Anvari (director/screenplay); Armie Hammer, Dakota Johnson, Zazie Beetz",[183],Horror Mystery Thriller
193,O C T O B E R,25,Black and Blue,Screen Gems,"Deon Taylor (director); Peter A. Dowling (screenplay); Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp",[184],Action Crime Drama Thriller
194,O C T O B E R,25,The Current War,101 Studios / Lantern Entertainment,"Alfonso Gomez-Rejon (director); Michael Mitnick (screenplay); Benedict Cumberbatch, Michael Shannon, Katherine Waterston, Tom Holland, Tuppence Middleton, Matthew Macfadyen, Nicholas Hoult",,Drama History
195,O C T O B E R,25,Countdown,STX Entertainment,"Justin Dec (director/screenplay); Elizabeth Lail, Peter Facinelli, Anne Winters, Talitha Bateman, Tichina Arnold, P. J. Byrne",,Horror Thriller
196,O C T O B E R,25,The Kill Team,A24,"Dan Krauss (director); Nat Wolff, Alexander Skarsgård",,War Action Drama
197,O C T O B E R,25,The Gallows Act II,Blumhouse Productions / Lionsgate,"Chris Lofing, Travis Cluff (director/screenplay); Chris Milligan, Ema Horvath, Brittany Falardeau",[185],Horror Thriller
198,N O V E M B E R,1,Terminator: Dark Fate,Paramount Pictures / 20th Century Fox / Skydance Media / Tencent Pictures,"Tim Miller (director); David S. Goyer, Justin Rhodes, Billy Ray (screenplay); Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta",[186],Science Fiction Adventure Action
199,N O V E M B E R,1,Motherless Brooklyn,Warner Bros. Pictures,"Edward Norton (director/screenplay); Edward Norton, Bruce Willis, Gugu Mbatha-Raw, Bobby Cannavale, Cherry Jones, Alec Baldwin, Willem Dafoe",[139],Drama Thriller
200,N O V E M B E R,1,The Irishman,Netflix / TriBeCa Productions,"Martin Scorsese (director); Steven Zaillian (screenplay); Robert De Niro, Al Pacino, Joe Pesci, Ray Romano, Bobby Canavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jesse Plemons, Harvey Keitel",[187],Crime Drama History
201,N O V E M B E R,1,Harriet,Focus Features,"Kasi Lemmons (director/screenplay); Gregory Allen Howard (screenplay); Cynthia Erivo, Leslie Odom Jr., Joe Alwyn, Janelle Monáe",[188],Drama History
202,N O V E M B E R,1,Arctic Dogs,Assemblage Entertainment,"Aaron Woodley (director/screenplay); Bob Barlen, Cal Brunker (screenplay); Jeremy Renner, James Franco, Heidi Klum, Alec Baldwin, Omar Sy, Anjelica Huston, John Cleese",[189],Animation Adventure Comedy
203,N O V E M B E R,6,Marriage Story,Netflix,"Noah Baumbach (director/screenplay); Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever",[166],Drama
204,N O V E M B E R,8,Doctor Sleep,Warner Bros. Pictures / Intrepid Pictures,"Mike Flanagan (director/screenplay); Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Carl Lumbly, Zahn McClarnon, Emily Alyn Lind, Bruce Greenwood, Jocelin Donahue",[190],Horror Thriller Fantasy
205,N O V E M B E R,8,Last Christmas,Universal Pictures / Perfect World Pictures,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson",[191],Comedy Romance
206,N O V E M B E R,8,Playing with Fire,Paramount Players / Nickelodeon Movies / Walden Media,"Andy Fickman (director); Dan Ewen, Matt Lieberman (screenplay); John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand, Dennis Haysbert, Judy Greer",[192],Family Comedy
207,N O V E M B E R,8,Let It Snow,Netflix,"Luke Snellin (director); Laura Solon, Victoria Strouse, Kay Cannon (screenplay); Isabela Merced, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack",,Romance Comedy
208,N O V E M B E R,8,Midway,Lionsgate / Summit Entertainment / Centropolis Entertainment / AGC Studios / Entertainment One,"Roland Emmerich (director); Wes Tooke (screenplay); Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Mandy Moore, Dennis Quaid, Woody Harrelson, Tadanobu Asano, Darren Criss",[193],Action Drama War History Adventure
209,N O V E M B E R,8,Klaus,Netflix,"Sergio Pablos (director); Zach Lewis, Jim Mahoney (screenplay); J. K. Simmons, Jason Schwartzman, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack",[194],Animation Family Adventure Comedy Fantasy
210,N O V E M B E R,8,Honey Boy,Amazon Studios,"Alma Har'el (director); Shia LaBeouf (screenplay); Shia LaBeouf, Lucas Hedges, Noah Jupe, FKA Twigs",[195],Drama
211,N O V E M B E R,12,Lady and the Tramp,Walt Disney Pictures / Disney+,"Charlie Bean (director); Andrew Bujalski, Kari Granlund (screenplay); Tessa Thompson, Justin Theroux, Kiersey Clemons, Thomas Mann, Janelle Monáe, F. Murray Abraham, Yvette Nicole Brown, Adrian Martinez, Ken Jeong, Sam Elliott",[196],Family Animation Romance
212,N O V E M B E R,12,Noelle,Walt Disney Pictures / Disney+,"Marc Lawrence (director/screenplay); Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine",[197],Family Comedy Fantasy
213,N O V E M B E R,15,Ford v Ferrari,20th Century Fox / Chernin Entertainment,"James Mangold (director); Jez Butterworth, John-Henry Butterworth, Jason Keller (screenplay); Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon",[198],Drama Action History
214,N O V E M B E R,15,Charlie's Angels,Columbia Pictures / Perfect World Pictures,"Elizabeth Banks (director/screenplay); Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart",[199],Action Adventure Comedy
215,N O V E M B E R,15,The Good Liar,Warner Bros. Pictures / New Line Cinema / Bron Studios,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Helen Mirren, Russell Tovey, Jim Carter",[200],Crime
216,N O V E M B E R,15,The Report,Amazon Studios,"Scott Z. Burns (director/screenplay); Adam Driver, Annette Bening, Ted Levine, Michael C. Hall, Tim Blake Nelson, Corey Stoll, Maura Tierney, Jon Hamm",[201],Thriller Drama
217,N O V E M B E R,15,Waves,A24,"Trey Edward Shults (director/screenplay); Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie, Renée Elise Goldsberry, Sterling K. Brown",[202],Romance Drama
218,N O V E M B E R,22,Frozen II,Walt Disney Pictures / Walt Disney Animation Studios,"Chris Buck, Jennifer Lee (directors); Jennifer Lee (screenplay); Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds",[203],Family Animation Adventure Comedy Fantasy
219,N O V E M B E R,22,A Beautiful Day in the Neighborhood,TriStar Pictures / Tencent Pictures / Big Beach,"Marielle Heller (director); Micah Fitzerman-Blue, Noah Harpster (screenplay); Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper",[204],Drama History
220,N O V E M B E R,22,21 Bridges,STX Entertainment,"Brian Kirk (director); Matthew Michael Carnahan, Adam Mervis (screenplay); Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J.K. Simmons",[205],Crime Action Drama
221,N O V E M B E R,22,Dark Waters,Focus Features / Participant,"Todd Haynes (director); Mario Correa, Matthew Michael Carnahan (screenplay); Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Bill Pullman",[206],Drama Thriller
222,N O V E M B E R,27,Knives Out,Lionsgate / Media Rights Capital,"Rian Johnson (director/screenplay); Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer",[207],Comedy Crime Mystery
223,N O V E M B E R,27,Queen & Slim,Universal Pictures / Entertainment One / Bron Creative,"Melina Matsoukas (director); Lena Waithe (screenplay); Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny, Flea, Sturgill Simpson, Indya Moore",[208],Drama Romance Crime
224,N O V E M B E R,27,The Two Popes,Netflix,"Fernando Meirelles (director); Anthony McCarten (screenplay); Anthony Hopkins, Jonathan Pryce",[166],Drama Comedy History
225,D E C E M B E R,6,Playmobil: The Movie,STX Entertainment / Lionsgate,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert",[209],Family Animation Comedy Adventure
226,D E C E M B E R,6,The Aeronauts,Amazon Studios,"Tom Harper (director); Jack Thorne (screenplay); Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay",[210],Adventure Drama Romance
227,D E C E M B E R,6,A Million Little Pieces,Momentum Pictures / The Picture Company,"Sam Taylor-Johnson (director/screenplay); Aaron Taylor-Johnson (screenplay); Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi, Juliette Lewis, Charlie Hunnam",[211],Drama
228,D E C E M B E R,6,Daniel Isn't Real,Samuel Goldwyn Films,"Adam Egypt Mortimer (director/screenplay); Brian DeLeeuw (screenplay); Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson, Hannah Marks, Chukwudi Iwuji, Peter McRobbie",[212],Horror Mystery
229,D E C E M B E R,6,Trauma Center,Lionsgate Films,"Matt Eskandari (director); Paul Da Silva (screenplay); Bruce Willis, Nicky Whelan",[213],Action Thriller
230,D E C E M B E R,13,Jumanji: The Next Level,Columbia Pictures / Seven Bucks Productions,"Jake Kasdan (director/screenplay); Scott Rosenberg, Jeff Pinkner (screenplay); Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Rory McCann, Alex Wolff, Morgan Turner, Ser'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito",[214],Adventure Comedy Fantasy
231,D E C E M B E R,13,Richard Jewell,Warner Bros. Pictures / Malpaso Productions,"Clint Eastwood (director); Billy Ray (screenplay); Paul Walter Hauser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde",[215],Drama Crime
232,D E C E M B E R,13,Black Christmas,Universal Pictures / Blumhouse Productions,"Sophia Takal (director/screenplay); April Wolfe (screenplay); Imogen Poots, Lily Donoghue, Aleyse Shannon, Brittany O'Grady, Caleb Eberhardt, Cary Elwes",[216],Horror Mystery
233,D E C E M B E R,13,6 Underground,Netflix / Skydance Media,"Michael Bay (director); Rhett Reese, Paul Wernick (screenplay); Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Payman Maadi, Corey Hawkins, Ben Hardy, Dave Franco",[217],Action Comedy Thriller
234,D E C E M B E R,13,Bombshell,Lionsgate / Bron Creative / Annapurna Pictures,"Jay Roach (director); Charles Randolph (screenplay); Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Connie Britton, Mark Duplass, Rob Delaney, Malcolm McDowell, Allison Janney",[218],Drama
235,D E C E M B E R,13,Uncut Gems,A24,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian",[219],Drama Thriller Crime
236,D E C E M B E R,13,Seberg,Amazon Studios,"Benedict Andrews (director); Joe Shrapnel, Anna Waterhouse (screenplay); Kristen Stewart, Jack O'Connell, Margaret Qualley, Zazie Beetz, Vince Vaughn, Anthony Mackie",[220],Thriller Drama
237,D E C E M B E R,13,A Hidden Life,Fox Searchlight Pictures,"Terrence Malick (director/screenplay); August Diehl, Valerie Pachner, Matthias Schoenaerts",[221],Drama War History
238,D E C E M B E R,20,Star Wars: The Rise of Skywalker,Lucasfilm / Bad Robot Productions,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams",[222],Adventure Action Science Fiction
239,D E C E M B E R,20,Cats,Universal Pictures / Amblin Entertainment / Working Title Films,"Tom Hooper (director/screenplay); Lee Hall (screenplay); James Corden, Judi Dench, Jason Derulo, Idris Elba, Jennifer Hudson, Ian McKellen, Taylor Swift, Rebel Wilson, Ray Winstone, Francesca Hayward",[223],Fantasy Comedy Drama
240,D E C E M B E R,20,Togo,Walt Disney Pictures / Disney+,"Ericson Core (director); Tom Flynn (screenplay); Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Michael Gaston, Michael McElhatton, Jamie McShane, Michael Greyeyes, Thorbjørn Harr, Shaun Benson, Nikolai Nikolaeff",[224],Crime Drama
241,D E C E M B E R,25,Spies in Disguise,20th Century Fox / Blue Sky Studios / Chernin Entertainment,"Nick Bruno, Troy Quane (directors); Brad Copeland (screenplay); Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Reba McEntire, Rachel Brosnahan, Karen Gillan, DJ Khaled, Masi Oka",[132],Animation Action Adventure Comedy Family
242,D E C E M B E R,25,Little Women,Columbia Pictures / Regency Enterprises,"Greta Gerwig (director/screenplay); Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Chris Cooper",[225],Drama Romance
243,D E C E M B E R,25,1917,Universal Pictures / DreamWorks Pictures,"Sam Mendes (director/screenplay); Krysty Wilson-Cairns (screenplay); George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch",[226],War Action Drama
244,D E C E M B E R,25,Just Mercy,Warner Bros. Pictures / Participant Media,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlanc",[227],Drama Crime History
245,D E C E M B E R,27,Clemency,Neon,"Chinonye Chukwu (director/screenplay); Alfre Woodard, Wendell Pierce, Aldis Hodge, Richard Schiff, Danielle Brooks",[228],Drama
